"","L","g_rate"
"36",5.6,2.7
"13",6.5,4.2
"14",6.5,5.3
"37",6.9,3.5
"66",7.7,5.3
"67",7.7,6
"68",8.8,6.5
"69",8.8,4
"70",8.8,6.7
"12",10.9,4.8
"15",11.1,4.7
"5",11.8,10
"6",11.8,11.2
"27",12.8,11.5
"53",14.6,4.2
"58",14.9,16.8
"59",14.9,8.2
"52",15.5,10.5
"48",18,20.2
"47",18.7,28.7
"7",19.4,7.3
"8",19.4,15.7
"61",19.7,23.2
"25",22.6,12.5
"62",22.9,21.2
"4",23.5,6.2
"49",25.4,4.7
"51",25.9,6.8
"60",27.4,11.7
"31",28.7,17.2
"39",28.8,30.7
"28",29,7.5
"45",29.4,29.7
"30",29.6,14.3
"55",37.1,31.3
"40",38.2,32.2
"42",38.2,24.8
"38",39.1,19.2
"46",39.1,30.8
"57",39.3,14.3
"29",39.6,25
"73",40.5,23.2
"71",41.3,16.8
"54",42.9,26.3
"41",43.4,46.7
"72",43.4,17
"16",50.4,28.2
"20",53.5,35.3
"44",53.5,26.8
"19",53.6,37.3
"18",56.3,36.3
"43",56.4,31.7
"21",57,37.3
"50",57.1,25.5
"17",57.5,22.7
"26",64.3,26.2
"56",66.4,13.5
"22",67.8,33.8
"23",70.9,32
"32",71.1,28.3
"24",75.1,34.2
"74",80.5,31.7
"75",82.8,31.2
"76",83.5,23.5
"77",85.9,27.3
"33",98,12.7
"34",98,30.3
"35",98,25
"63",98.3,37
"64",98.3,34.2
"65",98.3,29.2
"1",98.5,18.2
"2",98.5,26
"3",98.5,25.7
"9",98.7,44.2
"10",98.7,39.7
"11",98.7,30
