# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=18
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2002696782
# chain_id=1
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-39.8226,1,0.25,1,1,0,50.8666,-1.10739
-39.8226,0,14.3855,0,1,1,40.8332,-1.10739
-39.8226,0,2.43117,0,1,1,40.3018,-1.10739
-34.0025,1,0.239791,1,1,0,38.4258,-0.732115
-31.5981,1,0.324332,2,3,0,33.145,0.179002
-31.5981,0.0349984,0.507206,1,1,0,31.6156,0.179002
-30.5636,0.998011,0.0449769,3,11,0,32.2531,-0.107653
-30.5726,0.999852,0.0761609,4,15,0,30.5821,-0.192301
-30.6126,0.996325,0.136161,3,7,0,30.675,-0.223852
-30.6821,0.978862,0.247902,1,1,0,30.692,-0.259633
-30.6821,0.0144738,0.434203,1,1,0,31.5678,-0.259633
-30.7029,0.999967,0.0364462,4,17,0,30.7125,-0.0210052
-30.9616,0.985684,0.0695794,2,7,0,31.854,-0.347537
-30.9958,0.971189,0.127307,2,3,0,31.5251,-0.355781
-30.8054,0.928664,0.222368,1,3,0,31.6667,0.0151281
-30.9055,0.981327,0.339334,2,3,0,30.9243,-0.333202
-30.5533,1,0.606893,1,1,0,30.5795,-0.126245
-30.5533,2.5464e-211,1.1413,1,1,0,32.9631,-0.126245
-30.5675,0.99869,0.10276,1,3,0,30.5847,-0.102765
-30.62,0.977376,0.193722,1,3,0,30.7381,-0.228358
-30.7222,0.904235,0.339569,2,3,0,30.8006,-0.0134702
-30.7222,0.00246998,0.475386,1,1,0,31.4532,-0.0134702
-30.8416,0.997039,0.0470828,2,7,0,31.13,0.0260758
-30.827,1,0.0873753,1,1,0,30.846,0.0217376
-30.7318,1,0.161908,1,1,0,30.8173,-0.00983035
-30.8994,0.928724,0.296981,1,1,0,30.9717,0.0422307
-30.5532,1,0.440668,1,1,0,30.6604,-0.126507
-30.5532,2.57808e-06,0.793578,1,1,0,30.7872,-0.126507
-30.557,0.999797,0.0873536,1,3,0,30.5596,-0.11813
-30.9335,0.939681,0.15783,1,3,0,31.2247,0.051124
-31.3964,0.87561,0.239516,1,1,0,31.4414,0.146185
-30.9998,0.6859,0.303328,2,3,0,32.4284,-0.356735
-31.4724,0.882871,0.229542,1,1,0,31.5169,-0.448336
-30.7822,1,0.295339,1,1,0,31.2454,-0.297053
-30.7822,0.00112192,0.5162,1,1,0,32.5976,-0.297053
-30.9996,0.990629,0.0646834,3,11,0,31.6519,0.0673175
-30.551,0.995914,0.110656,2,5,0,31.1787,-0.155053
-30.5735,0.993654,0.190292,1,3,0,30.5971,-0.0961092
-30.5735,0.475291,0.322603,1,1,0,31.2783,-0.0961092
-30.5762,0.998049,0.144728,3,7,0,30.6266,-0.0934062
-30.7711,0.968042,0.246587,2,3,0,30.8071,-0.293366
-31.0097,0.943373,0.386517,1,3,0,31.0157,0.0696851
-31.0097,1.85241e-05,0.565908,1,1,0,31.2344,0.0696851
-30.9973,0.998493,0.0798152,4,15,0,31.2357,0.0667936
-30.6289,0.902167,0.134559,1,3,0,32.8595,-0.233514
-30.8378,0.907807,0.177996,1,3,0,31.499,0.0249498
-30.6615,0.964706,0.237725,1,3,0,31.0725,-0.25029
-31.4487,0.595932,0.362564,1,1,0,31.6009,-0.444396
-31.1067,1,0.227777,1,1,0,31.4411,-0.380593
-31.5816,0.71528,0.375597,1,1,0,32.0616,-0.46579
-30.8518,0.99585,0.314431,2,3,0,31.3923,-0.318388
-30.5499,1,0.50887,1,1,0,30.6076,-0.144126
-30.5499,0.000197729,0.82623,1,1,0,30.7351,-0.144126
-30.5669,0.996628,0.132226,1,3,0,30.6011,-0.185911
-30.5751,0.998142,0.213503,1,1,0,30.5772,-0.194832
-30.5751,0.396469,0.343802,1,1,0,31.2167,-0.194832
-30.714,0.950882,0.140614,1,3,0,31.3052,-0.0165944
-30.5602,0.998562,0.202829,2,3,0,30.7271,-0.112681
-30.5602,0.178688,0.324053,1,1,0,32.134,-0.112681
-30.5706,0.997244,0.082955,4,15,0,30.7223,-0.0991734
-30.6817,0.987621,0.132082,1,3,0,30.7512,-0.0298956
-30.9642,0.876236,0.20474,1,3,0,31.6114,-0.34817
-30.9319,1,0.247446,1,1,0,31.0652,-0.340068
-30.9319,0.068859,0.390519,1,1,0,31.8209,-0.340068
-30.6982,0.994543,0.0818727,1,3,0,31.1974,-0.266432
-30.8361,0.979084,0.127816,2,3,0,31.0492,-0.313796
-30.8691,0.874493,0.192069,2,7,0,31.9455,0.0339403
-30.9802,0.971028,0.230009,1,1,0,31.0422,0.062705
-32.507,0.150123,0.337112,2,3,0,35.2989,-0.58696
-32.5004,1,0.0875448,1,1,0,32.5785,-0.586217
